Vehicle_ID,Lane_No,First_Frame,Last_Frame,First_Time_s,Last_Time_s,Vehicle_Type
153,2,1378,1378,45.93,45.93,car
154,1,1388,1388,46.27,46.27,car
155,1,1402,1402,46.73,46.73,bus
156,1,1413,1413,47.1,47.1,car
157,2,1421,1421,47.37,47.37,car
149,1,1291,1431,43.03,47.7,car
158,3,1438,1438,47.93,47.93,car
159,2,1440,1440,48.0,48.0,car
160,1,1454,1454,48.47,48.47,car
161,1,1457,1457,48.57,48.57,motorcycle
157,1,1421,1476,47.37,49.2,car
162,2,1487,1487,49.57,49.57,car
163,3,1518,1518,50.6,50.6,car
164,2,1527,1527,50.9,50.9,car
165,1,1556,1556,51.87,51.87,car
166,2,1560,1560,52.0,52.0,car
167,3,1561,1561,52.03,52.03,car
162,1,1487,1563,49.57,52.1,car
168,2,1576,1576,52.53,52.53,car
169,2,1579,1579,52.63,52.63,bus
170,1,1625,1625,54.17,54.17,car
171,2,1625,1625,54.17,54.17,car
166,1,1560,1626,52.0,54.2,car
172,2,1638,1638,54.6,54.6,bus
173,2,1642,1642,54.73,54.73,bus
174,2,1646,1646,54.87,54.87,car
175,1,1679,1679,55.97,55.97,car
168,1,1576,1684,52.53,56.13,car
176,1,1685,1685,56.17,56.17,car
174,1,1646,1721,54.87,57.37,car
177,2,1727,1727,57.57,57.57,bus
178,2,1727,1727,57.57,57.57,car
171,1,1625,1775,54.17,59.17,car
179,2,1789,1789,59.63,59.63,car
180,2,1799,1799,59.97,59.97,bus
181,1,1803,1803,60.1,60.1,car
182,2,1810,1810,60.33,60.33,car
180,1,1799,1834,59.97,61.13,bus
183,2,1844,1844,61.47,61.47,car
184,1,1854,1854,61.8,61.8,car
185,2,1859,1859,61.97,61.97,car
186,2,1867,1867,62.23,62.23,car
187,2,1922,1922,64.07,64.07,car
188,2,1924,1924,64.13,64.13,car
189,2,1935,1935,64.5,64.5,bus
190,2,1945,1945,64.83,64.83,car
191,2,1949,1949,64.97,64.97,car
192,1,1952,1952,65.07,65.07,car
193,1,1956,1956,65.2,65.2,car
